strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Female,age_category10,11.7,11.6,11.8,Grouped,"[50,60)","11.7 (11.6, 11.8)",670881,sex,Rural
Female,age_category10,8.2,8.1,8.2,Grouped,"[60,70)","8.2 (8.1, 8.2)",670881,sex,Rural
Female,age_category10,2.7,2.7,2.7,Grouped,"[70,80)","2.7 (2.7, 2.7)",670881,sex,Rural
Female,age_category10,1,1,1.1,Grouped,"[80,100]","1 (1, 1.1)",670881,sex,Rural
Male,age_category10,24.7,24.5,24.9,Grouped,"[18,30)","24.7 (24.5, 24.9)",602665,sex,Rural
Male,age_category10,21.2,21,21.3,Grouped,"[30,40)","21.2 (21, 21.3)",602665,sex,Rural
Male,age_category10,19.5,19.3,19.7,Grouped,"[40,50)","19.5 (19.3, 19.7)",602665,sex,Rural
Male,age_category10,14,13.9,14.1,Grouped,"[50,60)","14 (13.9, 14.1)",602665,sex,Rural
Male,age_category10,13,12.8,13.1,Grouped,"[60,70)","13 (12.8, 13.1)",602665,sex,Rural
Male,age_category10,5.9,5.8,6,Grouped,"[70,80)","5.9 (5.8, 6)",602665,sex,Rural
Male,age_category10,1.7,1.7,1.8,Grouped,"[80,100]","1.7 (1.7, 1.8)",602665,sex,Rural
Female,age_category10,23.1,22.8,23.4,Grouped,"[18,30)","23.1 (22.8, 23.4)",218587,sex,Urban
Female,age_category10,23,22.6,23.3,Grouped,"[30,40)","23 (22.6, 23.3)",218587,sex,Urban
Female,age_category10,22.3,22,22.6,Grouped,"[40,50)","22.3 (22, 22.6)",218587,sex,Urban
Female,age_category10,15.4,15.2,15.7,Grouped,"[50,60)","15.4 (15.2, 15.7)",218587,sex,Urban
Female,age_category10,10.8,10.6,11.1,Grouped,"[60,70)","10.8 (10.6, 11.1)",218587,sex,Urban
Female,age_category10,4,3.9,4.2,Grouped,"[70,80)","4 (3.9, 4.2)",218587,sex,Urban
Female,age_category10,1.3,1.2,1.4,Grouped,"[80,100]","1.3 (1.2, 1.4)",218587,sex,Urban
Male,age_category10,20.4,20.1,20.7,Grouped,"[18,30)","20.4 (20.1, 20.7)",198903,sex,Urban
Male,age_category10,17.1,16.8,17.3,Grouped,"[30,40)","17.1 (16.8, 17.3)",198903,sex,Urban
Male,age_category10,22.6,22.3,22.9,Grouped,"[40,50)","22.6 (22.3, 22.9)",198903,sex,Urban
Male,age_category10,16,15.8,16.3,Grouped,"[50,60)","16 (15.8, 16.3)",198903,sex,Urban
Male,age_category10,14.6,14.3,14.9,Grouped,"[60,70)","14.6 (14.3, 14.9)",198903,sex,Urban
Male,age_category10,7.4,7.2,7.6,Grouped,"[70,80)","7.4 (7.2, 7.6)",198903,sex,Urban
Male,age_category10,1.9,1.8,2,Grouped,"[80,100]","1.9 (1.8, 2)",198903,sex,Urban
Female,age_category5,4.8,4.7,4.8,Grouped,"[15,20)","4.8 (4.7, 4.8)",670881,sex,Rural
Female,age_category5,11.5,11.4,11.7,Grouped,"[20,25)","11.5 (11.4, 11.7)",670881,sex,Rural
Female,age_category5,13.6,13.5,13.8,Grouped,"[25,30)","13.6 (13.5, 13.8)",670881,sex,Rural
Female,age_category5,14.2,14.1,14.4,Grouped,"[30,35)","14.2 (14.1, 14.4)",670881,sex,Rural
Female,age_category5,16.3,16.1,16.4,Grouped,"[35,40)","16.3 (16.1, 16.4)",670881,sex,Rural
Female,age_category5,8,7.9,8.1,Grouped,"[40,45)","8 (7.9, 8.1)",670881,sex,Rural
Female,age_category5,8,7.9,8.1,Grouped,"[45,50)","8 (7.9, 8.1)",670881,sex,Rural
Female,age_category5,5.9,5.8,6,Grouped,"[50,55)","5.9 (5.8, 6)",670881,sex,Rural
Female,age_category5,5.8,5.7,5.8,Grouped,"[55,60)","5.8 (5.7, 5.8)",670881,sex,Rural
Female,age_category5,5.2,5.1,5.2,Grouped,"[60,65)","5.2 (5.1, 5.2)",670881,sex,Rural
Female,age_category5,3,2.9,3.1,Grouped,"[65,70)","3 (2.9, 3.1)",670881,sex,Rural
Female,age_category5,1.8,1.8,1.8,Grouped,"[70,75)","1.8 (1.8, 1.8)",670881,sex,Rural
Female,age_category5,0.9,0.9,0.9,Grouped,"[75,80)","0.9 (0.9, 0.9)",670881,sex,Rural
Female,age_category5,0.6,0.6,0.6,Grouped,"[80,85)","0.6 (0.6, 0.6)",670881,sex,Rural
Female,age_category5,0.3,0.2,0.3,Grouped,"[85,90)","0.3 (0.2, 0.3)",670881,sex,Rural
Female,age_category5,0.1,0.1,0.1,Grouped,"[90,95)","0.1 (0.1, 0.1)",670881,sex,Rural
Female,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",670881,sex,Rural
Male,age_category5,4.5,4.5,4.6,Grouped,"[15,20)","4.5 (4.5, 4.6)",602665,sex,Rural
Male,age_category5,9.8,9.6,9.9,Grouped,"[20,25)","9.8 (9.6, 9.9)",602665,sex,Rural
Male,age_category5,10.4,10.3,10.5,Grouped,"[25,30)","10.4 (10.3, 10.5)",602665,sex,Rural
Male,age_category5,10.2,10.1,10.3,Grouped,"[30,35)","10.2 (10.1, 10.3)",602665,sex,Rural
Male,age_category5,11,10.9,11.1,Grouped,"[35,40)","11 (10.9, 11.1)",602665,sex,Rural
Male,age_category5,9.8,9.7,10,Grouped,"[40,45)","9.8 (9.7, 10)",602665,sex,Rural
Male,age_category5,9.7,9.5,9.8,Grouped,"[45,50)","9.7 (9.5, 9.8)",602665,sex,Rural
Male,age_category5,7.4,7.3,7.5,Grouped,"[50,55)","7.4 (7.3, 7.5)",602665,sex,Rural
Male,age_category5,6.6,6.5,6.7,Grouped,"[55,60)","6.6 (6.5, 6.7)",602665,sex,Rural
Male,age_category5,6.7,6.6,6.8,Grouped,"[60,65)","6.7 (6.6, 6.8)",602665,sex,Rural
Male,age_category5,6.3,6.2,6.4,Grouped,"[65,70)","6.3 (6.2, 6.4)",602665,sex,Rural
Male,age_category5,4.1,4,4.2,Grouped,"[70,75)","4.1 (4, 4.2)",602665,sex,Rural
Male,age_category5,1.8,1.8,1.9,Grouped,"[75,80)","1.8 (1.8, 1.9)",602665,sex,Rural
Male,age_category5,1.1,1,1.1,Grouped,"[80,85)","1.1 (1, 1.1)",602665,sex,Rural
Male,age_category5,0.4,0.4,0.5,Grouped,"[85,90)","0.4 (0.4, 0.5)",602665,sex,Rural
Male,age_category5,0.2,0.1,0.2,Grouped,"[90,95)","0.2 (0.1, 0.2)",602665,sex,Rural
Male,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",602665,sex,Rural
Female,age_category5,3.6,3.5,3.7,Grouped,"[15,20)","3.6 (3.5, 3.7)",218587,sex,Urban
Female,age_category5,8.9,8.7,9.1,Grouped,"[20,25)","8.9 (8.7, 9.1)",218587,sex,Urban
Female,age_category5,10.6,10.4,10.8,Grouped,"[25,30)","10.6 (10.4, 10.8)",218587,sex,Urban
Female,age_category5,10.8,10.6,11.1,Grouped,"[30,35)","10.8 (10.6, 11.1)",218587,sex,Urban
Female,age_category5,12.1,11.9,12.4,Grouped,"[35,40)","12.1 (11.9, 12.4)",218587,sex,Urban
Female,age_category5,11.6,11.4,11.8,Grouped,"[40,45)","11.6 (11.4, 11.8)",218587,sex,Urban
Female,age_category5,10.7,10.5,10.9,Grouped,"[45,50)","10.7 (10.5, 10.9)",218587,sex,Urban
Female,age_category5,8,7.8,8.2,Grouped,"[50,55)","8 (7.8, 8.2)",218587,sex,Urban
Female,age_category5,7.4,7.2,7.6,Grouped,"[55,60)","7.4 (7.2, 7.6)",218587,sex,Urban
Female,age_category5,5.9,5.7,6,Grouped,"[60,65)","5.9 (5.7, 6)",218587,sex,Urban
Female,age_category5,5,4.8,5.1,Grouped,"[65,70)","5 (4.8, 5.1)",218587,sex,Urban
Female,age_category5,2.7,2.6,2.9,Grouped,"[70,75)","2.7 (2.6, 2.9)",218587,sex,Urban
Female,age_category5,1.3,1.2,1.4,Grouped,"[75,80)","1.3 (1.2, 1.4)",218587,sex,Urban
Female,age_category5,0.8,0.7,0.9,Grouped,"[80,85)","0.8 (0.7, 0.9)",218587,sex,Urban
Female,age_category5,0.3,0.3,0.4,Grouped,"[85,90)","0.3 (0.3, 0.4)",218587,sex,Urban
Female,age_category5,0.1,0.1,0.2,Grouped,"[90,95)","0.1 (0.1, 0.2)",218587,sex,Urban
Female,age_category5,0.1,0,0.1,Grouped,"[95,100]","0.1 (0, 0.1)",218587,sex,Urban
Male,age_category5,3.8,3.7,3.9,Grouped,"[15,20)","3.8 (3.7, 3.9)",198903,sex,Urban
Male,age_category5,8.3,8.1,8.4,Grouped,"[20,25)","8.3 (8.1, 8.4)",198903,sex,Urban
Male,age_category5,8.3,8.2,8.5,Grouped,"[25,30)","8.3 (8.2, 8.5)",198903,sex,Urban
Male,age_category5,8.5,8.3,8.7,Grouped,"[30,35)","8.5 (8.3, 8.7)",198903,sex,Urban
Male,age_category5,8.6,8.4,8.8,Grouped,"[35,40)","8.6 (8.4, 8.8)",198903,sex,Urban
Male,age_category5,11.4,11.2,11.7,Grouped,"[40,45)","11.4 (11.2, 11.7)",198903,sex,Urban
Male,age_category5,11.2,11,11.4,Grouped,"[45,50)","11.2 (11, 11.4)",198903,sex,Urban
Male,age_category5,8.7,8.5,8.9,Grouped,"[50,55)","8.7 (8.5, 8.9)",198903,sex,Urban
Male,age_category5,7.4,7.2,7.5,Grouped,"[55,60)","7.4 (7.2, 7.5)",198903,sex,Urban
Male,age_category5,6.9,6.7,7,Grouped,"[60,65)","6.9 (6.7, 7)",198903,sex,Urban
Male,age_category5,7.7,7.5,7.9,Grouped,"[65,70)","7.7 (7.5, 7.9)",198903,sex,Urban
Male,age_category5,4.9,4.7,5.1,Grouped,"[70,75)","4.9 (4.7, 5.1)",198903,sex,Urban
Male,age_category5,2.5,2.3,2.6,Grouped,"[75,80)","2.5 (2.3, 2.6)",198903,sex,Urban
Male,age_category5,1.2,1.1,1.3,Grouped,"[80,85)","1.2 (1.1, 1.3)",198903,sex,Urban
Male,age_category5,0.5,0.5,0.6,Grouped,"[85,90)","0.5 (0.5, 0.6)",198903,sex,Urban
Male,age_category5,0.1,0.1,0.1,Grouped,"[90,95)","0.1 (0.1, 0.1)",198903,sex,Urban
Male,age_category5,0.1,0,0.1,Grouped,"[95,100]","0.1 (0, 0.1)",198903,sex,Urban
Female,education,6.3,6.2,6.4,Grouped,Higher,"6.3 (6.2, 6.4)",670881,sex,Rural
Female,education,47,46.7,47.2,Grouped,No education,"47 (46.7, 47.2)",670881,sex,Rural
Female,education,15.5,15.4,15.7,Grouped,Primary,"15.5 (15.4, 15.7)",670881,sex,Rural
Female,education,31.2,31,31.4,Grouped,Secondary,"31.2 (31, 31.4)",670881,sex,Rural
Male,education,13,12.8,13.3,Grouped,Higher,"13 (12.8, 13.3)",602665,sex,Rural
Male,education,20,19.8,20.2,Grouped,No education,"20 (19.8, 20.2)",602665,sex,Rural
Male,education,16.5,16.3,16.6,Grouped,Primary,"16.5 (16.3, 16.6)",602665,sex,Rural
Male,education,50.5,50.2,50.7,Grouped,Secondary,"50.5 (50.2, 50.7)",602665,sex,Rural
Female,education,21.5,21.1,21.9,Grouped,Higher,"21.5 (21.1, 21.9)",218587,sex,Urban
Female,education,21.8,21.3,22.3,Grouped,No education,"21.8 (21.3, 22.3)",218587,sex,Urban
Female,education,12.3,12.1,12.6,Grouped,Primary,"12.3 (12.1, 12.6)",218587,sex,Urban
Female,education,44.4,44,44.8,Grouped,Secondary,"44.4 (44, 44.8)",218587,sex,Urban
Male,education,30.8,30.3,31.2,Grouped,Higher,"30.8 (30.3, 31.2)",198903,sex,Urban
Male,education,8.7,8.4,8.9,Grouped,No education,"8.7 (8.4, 8.9)",198903,sex,Urban
Male,education,10.1,9.9,10.4,Grouped,Primary,"10.1 (9.9, 10.4)",198903,sex,Urban
Male,education,50.4,50,50.8,Grouped,Secondary,"50.4 (50, 50.8)",198903,sex,Urban
Female,caste,23.6,23.3,23.8,Grouped,General,"23.6 (23.3, 23.8)",670881,sex,Rural
Female,caste,42.6,42.4,42.9,Grouped,OBC,"42.6 (42.4, 42.9)",670881,sex,Rural
Female,caste,22.3,22,22.5,Grouped,Schedule Caste,"22.3 (22, 22.5)",670881,sex,Rural
Female,caste,11.5,11.4,11.7,Grouped,Schedule Tribe,"11.5 (11.4, 11.7)",670881,sex,Rural
Male,caste,23.6,23.2,24,Grouped,General,"23.6 (23.2, 24)",602665,sex,Rural
Male,caste,41.1,40.8,41.5,Grouped,OBC,"41.1 (40.8, 41.5)",602665,sex,Rural
Male,caste,22.8,22.5,23.1,Grouped,Schedule Caste,"22.8 (22.5, 23.1)",602665,sex,Rural
Male,caste,12.5,12.3,12.7,Grouped,Schedule Tribe,"12.5 (12.3, 12.7)",602665,sex,Rural
Female,caste,35.2,34.6,35.9,Grouped,General,"35.2 (34.6, 35.9)",218587,sex,Urban
Female,caste,41.6,41,42.3,Grouped,OBC,"41.6 (41, 42.3)",218587,sex,Urban
Female,caste,19,18.4,19.5,Grouped,Schedule Caste,"19 (18.4, 19.5)",218587,sex,Urban
Female,caste,4.2,3.9,4.4,Grouped,Schedule Tribe,"4.2 (3.9, 4.4)",218587,sex,Urban
Male,caste,33.7,33.1,34.3,Grouped,General,"33.7 (33.1, 34.3)",198903,sex,Urban
Male,caste,42.2,41.6,42.8,Grouped,OBC,"42.2 (41.6, 42.8)",198903,sex,Urban
Male,caste,19.7,19.2,20.2,Grouped,Schedule Caste,"19.7 (19.2, 20.2)",198903,sex,Urban
Male,caste,4.5,4.2,4.7,Grouped,Schedule Tribe,"4.5 (4.2, 4.7)",198903,sex,Urban
Female,religion,84.4,84.1,84.7,Grouped,Hindu,"84.4 (84.1, 84.7)",670881,sex,Rural
Female,religion,10.3,10,10.6,Grouped,Muslim,"10.3 (10, 10.6)",670881,sex,Rural
Female,religion,5.3,5.2,5.4,Grouped,Other,"5.3 (5.2, 5.4)",670881,sex,Rural
Male,religion,84.2,83.9,84.5,Grouped,Hindu,"84.2 (83.9, 84.5)",602665,sex,Rural
Male,religion,10.4,10.1,10.8,Grouped,Muslim,"10.4 (10.1, 10.8)",602665,sex,Rural
Male,religion,5.4,5.2,5.5,Grouped,Other,"5.4 (5.2, 5.5)",602665,sex,Rural
Female,religion,78.5,77.8,79.1,Grouped,Hindu,"78.5 (77.8, 79.1)",218587,sex,Urban
Female,religion,15.4,14.8,16,Grouped,Muslim,"15.4 (14.8, 16)",218587,sex,Urban
Female,religion,6.2,5.9,6.4,Grouped,Other,"6.2 (5.9, 6.4)",218587,sex,Urban
Male,religion,79.1,78.5,79.7,Grouped,Hindu,"79.1 (78.5, 79.7)",198903,sex,Urban
Male,religion,15.4,14.8,15.9,Grouped,Muslim,"15.4 (14.8, 15.9)",198903,sex,Urban
Male,religion,5.5,5.3,5.8,Grouped,Other,"5.5 (5.3, 5.8)",198903,sex,Urban
Female,wealthq_ur,18.2,17.9,18.4,Grouped,1,"18.2 (17.9, 18.4)",670881,sex,Rural
Female,wealthq_ur,19.2,19,19.3,Grouped,2,"19.2 (19, 19.3)",670881,sex,Rural
Female,wealthq_ur,20.2,20,20.3,Grouped,3,"20.2 (20, 20.3)",670881,sex,Rural
Female,wealthq_ur,20.9,20.8,21.1,Grouped,4,"20.9 (20.8, 21.1)",670881,sex,Rural
Female,wealthq_ur,21.6,21.4,21.8,Grouped,5,"21.6 (21.4, 21.8)",670881,sex,Rural
Male,wealthq_ur,17.7,17.4,18,Grouped,1,"17.7 (17.4, 18)",602665,sex,Rural
Male,wealthq_ur,19.1,18.9,19.3,Grouped,2,"19.1 (18.9, 19.3)",602665,sex,Rural
Male,wealthq_ur,20.3,20.1,20.5,Grouped,3,"20.3 (20.1, 20.5)",602665,sex,Rural
Male,wealthq_ur,21.3,21,21.5,Grouped,4,"21.3 (21, 21.5)",602665,sex,Rural
Male,wealthq_ur,21.6,21.4,21.9,Grouped,5,"21.6 (21.4, 21.9)",602665,sex,Rural
Female,wealthq_ur,19.2,18.6,19.7,Grouped,1,"19.2 (18.6, 19.7)",218587,sex,Urban
Female,wealthq_ur,20,19.6,20.4,Grouped,2,"20 (19.6, 20.4)",218587,sex,Urban
Female,wealthq_ur,20.4,20.1,20.8,Grouped,3,"20.4 (20.1, 20.8)",218587,sex,Urban
Female,wealthq_ur,20.4,20,20.8,Grouped,4,"20.4 (20, 20.8)",218587,sex,Urban
Female,wealthq_ur,20,19.5,20.5,Grouped,5,"20 (19.5, 20.5)",218587,sex,Urban
Male,wealthq_ur,18.9,18.4,19.3,Grouped,1,"18.9 (18.4, 19.3)",198903,sex,Urban
Male,wealthq_ur,20.3,20,20.7,Grouped,2,"20.3 (20, 20.7)",198903,sex,Urban
Male,wealthq_ur,20.7,20.4,21,Grouped,3,"20.7 (20.4, 21)",198903,sex,Urban
Male,wealthq_ur,20.6,20.3,21,Grouped,4,"20.6 (20.3, 21)",198903,sex,Urban
Male,wealthq_ur,19.5,19,20,Grouped,5,"19.5 (19, 20)",198903,sex,Urban
Female,bmi_category,17.9,17.7,18.1,Grouped,Underweight,"17.9 (17.7, 18.1)",458247,sex,Rural
Female,bmi_category,60.5,60.2,60.8,Grouped,Normal,"60.5 (60.2, 60.8)",458247,sex,Rural
Female,bmi_category,16.7,16.5,16.9,Grouped,Overweight,"16.7 (16.5, 16.9)",458247,sex,Rural
Female,bmi_category,5,4.8,5.1,Grouped,Obese,"5 (4.8, 5.1)",458247,sex,Rural
Female,bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",458247,sex,Rural
Male,bmi_category,13.3,12.8,13.7,Grouped,Underweight,"13.3 (12.8, 13.7)",65589,sex,Rural
Male,bmi_category,65,64.3,65.6,Grouped,Normal,"65 (64.3, 65.6)",65589,sex,Rural
Male,bmi_category,18.5,17.9,19,Grouped,Overweight,"18.5 (17.9, 19)",65589,sex,Rural
Male,bmi_category,3.3,3.1,3.5,Grouped,Obese,"3.3 (3.1, 3.5)",65589,sex,Rural
Male,bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",65589,sex,Rural
Female,bmi_category,9.8,9.5,10.1,Grouped,Underweight,"9.8 (9.5, 10.1)",151231,sex,Urban
Female,bmi_category,53.3,52.7,53.9,Grouped,Normal,"53.3 (52.7, 53.9)",151231,sex,Urban
Female,bmi_category,25.2,24.8,25.7,Grouped,Overweight,"25.2 (24.8, 25.7)",151231,sex,Urban
Female,bmi_category,11.7,11.4,12,Grouped,Obese,"11.7 (11.4, 12)",151231,sex,Urban
Female,bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",151231,sex,Urban
Male,bmi_category,8,7.4,8.6,Grouped,Underweight,"8 (7.4, 8.6)",22556,sex,Urban
Male,bmi_category,57.6,56.2,59.1,Grouped,Normal,"57.6 (56.2, 59.1)",22556,sex,Urban
Male,bmi_category,27.5,26.2,28.7,Grouped,Overweight,"27.5 (26.2, 28.7)",22556,sex,Urban
Male,bmi_category,6.9,6.2,7.5,Grouped,Obese,"6.9 (6.2, 7.5)",22556,sex,Urban
Male,bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",22556,sex,Urban
